n | RT @GameOverGreggy: BUT I DON'T WANT IT TO END
n | Bernie Sanders is being treated very badly by the Democrats - the system is rigged against him. Many of his disenfranchised fans are for me!
n | Last time she had a breakdown she turned her arse into a rose garden. Now she's making notes on her norks. https://t.co/IIqsvHYU2d
p | This is the secret to stepping outside the box and releasing your true potential https://t.co/U78u5lXgE2
p | ANNOUNCEMEnt: all my videos are now: Family friendly content exclusively- Over 10 minute watch time- Whatever else helps the algoritm
p | "well you see the reason poodiepie got big is because @youtube promotes his videos all over the site" #gaming https://t.co/RzBrlPPuKz
p | 💚 thank you  https://t.co/Db9Ac2zque
n | The BBC recipe charade demonstrates how they use our cash to play us for fools. https://t.co/1p2ppHroX6 https://t.co/bnU25Wygno
p | You're not so bad yourself @KarenDavid In fact-I think you, your show &amp;the entire cast are all just #Galavanterrific https://t.co/tGFO3aMLa1
p | RT @DerekTVShow: "I fucking love Wednesdays!" - Watch all the episodes of #Derek now on #Netflix! https://t.co/fKbhtKfH6J
p | My princess growing up way too quick! 🙈💗💗💗 https://t.co/Q70QJgO5cD
p | New 10k run record!! #onlycountsifupostonline https://t.co/stdhv1bBU8
p | RT @JohnHendrick13: Read American Alien 7 last night by @Uptomyknees and @jock4twenty Gorgeous end to the series. https://t.co/IgAG99KVJh
p | I NEED #MoreGalavant!!! This show is really worth saving: Astoundingly Original Epic Musical-Comedy Classic! #GR8TV https://t.co/KtLW6ek6ss
p | RT @ReIief: incase you're having a bad day, just watch this video of an otter eating lettuce https://t.co/XW7SuEAOIr
p | Lovely thing to read on a morning thank you that's really kind of you to say xx https://t.co/faY1SLR5fl
